# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.0,3.0,-0.7312998593845284,0,1.0,-2.075784040854465,0.0,0.0,0.0
 0.15519504602228082,1.0120417702305327,2.9998462954307783,-0.7312998593845284,0.15519504602228082,1.0,-2.075784040854465,0.0,-22.22253864368592,0.0
 0.21989111638714753,1.024166377497205,2.9993870823067414,-2.1690107831624026,0.21989111638714756,1.0000000000000004,-2.0093946519992136,0.0,-28.080286578219695,0.0
 0.2698377066000144,1.0363727666626288,2.9986252115033314,-3.5715253499446065,0.26983770660001444,1.0000000000000007,-1.9424503397655366,0.0,-32.2553777518094,0.0
 0.31221496477988453,1.0486598825894158,2.99756353389599,-4.938419820622273,0.31221496477988453,0.9999999999999987,-1.8753824180004892,0.0,-35.41328650889346,0.0
 0.34980076206026617,1.061026670140178,2.99620490036016,-6.269456428377616,0.34980076206026617,1.0,-1.8085767959242531,0.0,-37.84954396026596,0.0
 0.38401810398995107,1.0734720741775268,2.9945521617712823,-7.564567215948676,0.384018103989951,0.9999999999999983,-1.7423736742867189,0.0,-39.733251835466426,0.0
 0.4157112131438837,1.0859950395640745,2.9926081690048,-8.82383750341081,0.41571121314388365,1.0,-1.6770683536904236,0.0,-41.17535892493831,0.0
 0.4454292751606826,1.0985945111624322,2.990375772936155,-10.047489373506078,0.44542927516068254,1.0,-1.6129129282675383,0.0,-42.25527935862634,0.0
 0.47355300642863374,1.1112694338352123,2.9878578244407885,-11.235865494840288,0.4735530064286337,1.0,-1.5501186497060961,0.0,-43.03332483766464,0.0
 0.5003589306278384,1.1240187524450262,2.985057174394144,-12.389413538478479,0.5003589306278383,0.9999999999999979,-1.4888587655634193,0.0,-43.55724363454893,0.0
 0.5260551811394473,1.136841411854486,2.981976673671662,-13.508671382507028,0.5260551811394472,1.0,-1.4292716600219986,0.0,-43.86597133061544,0.0
 0.5508028802933352,1.1497363569262031,2.9786191731487857,-14.594253244090174,0.5508028802933351,1.0,-1.3714641516314772,0.0,-43.991934061484535,0.0
 0.5747296207015493,1.1627025325227895,2.974987523700957,-15.646836830434586,0.5747296207015492,1.0,-1.315514828751293,0.0,-43.96254565061909,0.0
 0.5979383478876394,1.1757388835068572,2.971084576203617,-16.667151558845838,0.5979383478876393,1.0,-1.261477328881596,0.0,-43.80123006666926,0.0
 0.6205134285853958,1.1888443547410172,2.966913181532209,-17.65596786226189,0.6205134285853957,1.0,-1.2093834907987553,0.0,-43.52815107058681,0.0
 0.6425249242175978,1.2020178910878823,2.962476190562175,-18.614087569429937,0.6425249242175975,0.999999999999995,-1.1592463285545151,0.0,-43.160753757628484,0.0
 0.6640316792569708,1.2152584374100632,2.9577764541689557,-19.54233532780995,0.6640316792569706,1.0,-1.1110627935031838,0.0,-42.71418070360537,0.0
 0.6850836034444313,1.2285649385701727,2.952816823227995,-20.44155102171174,0.6850836034444311,1.0,-1.0648163048836032,0.0,-42.20160155014018,0.0
 0.7057233913580852,1.241936339430822,2.9476001486147334,-21.312583127323162,0.7057233913580849,1.0,-1.0204790400270398,0.0,-41.63448077857953,0.0
 0.725987840341786,1.2553715848546227,2.9421292812046134,-22.156282939023555,0.7259878403417858,1.0,-0.9780139850691496,0.0,-41.022799907950706,0.0
 0.7459088759773234,1.2688696197041873,2.936407071873078,-22.973499597859362,0.7459088759773232,1.0000000000000056,-0.9373767524759923,0.0,-40.37524501097415,0.0
 0.7655143608099209,1.282429388842127,2.930436371495568,-23.765075851534426,0.7655143608099207,1.0,-0.8985171769589448,0.0,-39.699367072657715,0.0
 0.7848287398786812,1.2960498371310536,2.924220030947526,-24.531844475965592,0.7848287398786811,1.0,-0.861380704404247,0.0,-39.00172053226754,0.0
 0.8038735616118868,1.3097299094335793,2.917760901104394,-25.27462529079094,0.8038735616118867,1.0,-0.8259095897959102,0.0,-38.287983876026594,0.0
 0.8226679023025683,1.323468550612315,2.9110618328416145,-25.9942227041163,0.8226679023025681,1.0,-0.7920439216183117,0.0,-37.56306519956096,0.0
 0.8412287151139879,1.3372647055298734,2.904125677034629,-26.691423725908503,0.8412287151139878,1.0,-0.7597224899183755,0.0,-36.831194975444184,0.0
 0.859571119378274,1.3511173190488661,2.896955284558879,-27.366996393684843,0.8595711193782738,0.9999999999999939,-0.7288835149050107,0.0,-36.09600779567998,0.0
 0.8777086421943965,1.3650253360319045,2.8895535062898077,-28.02168855864992,0.8777086421943963,1.0,-0.6994652523085585,0.0,-35.36061453183705,0.0
 0.8956534215730115,1.3789877013416005,2.8819231931028573,-28.65622698511599,0.8956534215730113,1.0,-0.6714064906404759,0.0,-34.62766609760456,0.0
 0.9134163783247906,1.393003359840566,2.8740671958734687,-29.271316720422785,0.9134163783247904,1.0,-0.6446469540366968,0.0,-33.899409824827934,0.0
 0.9310073623465187,1.407071256391413,2.8659883654770844,-29.867640696997345,0.9310073623465185,1.0,-0.6191276239717928,0.0,-33.17773931568182,0.0
 0.9484352777869517,1.4211903358567528,2.8576895527891466,-30.445859532295778,0.9484352777869515,1.0,-0.5947909905865401,0.0,-32.46423851544687,0.0
 0.9657081906745467,1.4353595430991974,2.849173608685098,-31.0066114961352,0.9657081906745465,1.0,-0.571581244550966,0.0,-31.760220665859098,0.0
